GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,lat,long,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,GEOID,STATE,COUNTY,TRACT,BLOCK,NAME,variable,estimate,moe,geometry
1004663,10740,Forty West SLF,MD,12630 Earth Care Road,Hagerstown,Washington,21740,39.6567,-77.82,Public,"Washington County, MD",2000,2033,Open,"2,293,663",2021,No,NA,NA,180926-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240430117003016,24,43,11700,3016,NA,NA,NA,NA,list()
1003378,10720,Garrett County SWD and RF,MD,3118 Oakland Sang Run Road,Oakland,Garrett,21550,39.45075,-79.40754,Public,"Garrett County, MD",1974,2037,Open,"1,360,889",2021,No,NA,NA,180925-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240230006011003,24,23,601,1003,NA,NA,NA,NA,list()
1002004,20792,Glen Burnie Landfill,MD,100 Dover Road,Glen Burnie,Anne Arundel,21060,39.18718,-76.6,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1953,1982,Closed,"3,844,718",1982,No,NA,NA,201023-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240037511022010,24,3,751102,2010,NA,NA,NA,NA,list()
1003432,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850,39.107,-77.14,Public,"Montgomery County, MD",1965,1982,Closed,"4,800,000",NA,Yes,1.03,NA,180877-0,Shutdown,Project #2,7/13/09,6/1/17,Electricity,Reciprocating Engine,NA,0.8,0.848,0.5,NA,NA,240317012111000,24,31,701211,1000,NA,NA,NA,NA,list()
1003432,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850,39.107,-77.14,Public,"Montgomery County, MD",1965,1982,Closed,"4,800,000",NA,Yes,1.03,NA,818-0,Shutdown,Project #1,1/1/85,3/25/06,Electricity,Reciprocating Engine,NA,2,3,NA,NA,NA,240317012111000,24,31,701211,1000,NA,NA,NA,NA,list()
1002292,750,Harford Waste Disposal Center,MD,3241 Scarboro Road,Street,Harford,21154,39.63963,-76.30235,Public,"Harford County, MD",1960,2125,Open,"2,715,057",2021,Yes,0.133,0.133,820-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240253052003000,24,25,305200,3000,NA,NA,NA,NA,list()
NA,2270,Honey-Go-Run Reclamation,MD,10710 Philadelphia Road,Perry Hall,Baltimore,21128,39.39383,-76.42418,Private,"Republic Services, Inc.",NA,NA,Open,"2,528,416",2009,No,NA,NA,180360-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240054113021018,24,5,411302,1018,NA,NA,NA,NA,list()
NA,752,Hoods Mill Road SLF,MD,7901 Kabik Court,Woodbine,Carroll,21797,39.357,-77.024,Public,"Carroll County, MD",1981,1994,Closed,"480,000",NA,No,NA,NA,822-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240135142013014,24,13,514201,3014,NA,NA,NA,NA,list()
1005718,753,Midshore I - Regional Solid Waste Facility,MD,7341 Barkers Landing Road,Easton,Talbot,21601,38.74714,-76.01961,Public,Maryland Environmental Service,1965,2010,Closed,"2,032,829",2010,Yes,0.374,0.374,201728-0,Shutdown,Project #1,1/1/17,7/1/20,Electricity,Reciprocating Engine,NA,NA,1,NA,NA,NA,240419605021018,24,41,960502,1018,NA,NA,NA,NA,list()
1005718,753,Midshore I - Regional Solid Waste Facility,MD,7341 Barkers Landing Road,Easton,Talbot,21601,38.74714,-76.01961,Public,Maryland Environmental Service,1965,2010,Closed,"2,032,829",2010,Yes,0.374,0.374,823-0,Operational,Project #2,9/16/22,NA,Electricity,Stirling Cycle Engine,NA,0.006,0.006,NA,3e-4,0,240419605021018,24,41,960502,1018,NA,NA,NA,NA,list()
1011317,11902,Midshore II - Regional Solid Waste Facility,MD,12236 River Road,Ridgely,Caroline,21660,38.948,-75.8593,Public,Maryland Environmental Service,2010,2046,Open,"1,163,609",2021,No,NA,NA,181060-0,Future Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240119552011042,24,11,955201,1042,NA,NA,NA,NA,list()
1002002,754,Millersville SLF,MD,389 Burns Crossing Road,Severn,Anne Arundel,21144,39.0945,-76.6656,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1975,2053,Open,"8,748,707",2021,Yes,1.532,0.015,824-0,Operational,Project #1,6/27/12,NA,Electricity,Reciprocating Engine,NA,2.8,3.2,1.52,0.1417,0.0136,240037410001002,24,3,741000,1002,NA,NA,NA,NA,list()
1007611,755,Mountainview SLF,MD,13300 New George's Creek Road SW,Frostburg,Allegany,21532,39.60212,-78.92121,Private,Noble Environmental,1991,2024,Open,"3,045,666",2021,Yes,0.448,0.448,825-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240010019002000,24,1,1900,2000,NA,NA,NA,NA,list()
1005908,20837,New Cut Landfill,MD,4361 New Cut Road,Ellicott City,Howard,21043,39.246917,-76.796769,Public,"Howard County, MD",1947,1980,Closed,NA,NA,Yes,0.12,0.12,201102-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240276027002006,24,27,602700,2006,NA,NA,NA,NA,list()
1007029,756,Newland Park SLF,MD,6948 Brick Kiln Road,Salisbury,Wicomico,21801,38.385,-75.6336,Public,"Wicomico County, MD",1960,2037,Open,"4,051,277",2021,Yes,0.773,0.073,826-0,Operational,Project #1,4/23/07,NA,Electricity,Reciprocating Engine,NA,1.32,3.15,0.7,0.0668,0.0064,240450103001029,24,45,10300,1029,NA,NA,NA,NA,list()
NA,757,Nicholson SLF,MD,NA,NA,Kent,NA,38.382779,-75.631945,Public,NA,1964,1992,Closed,"610,000",NA,No,NA,NA,827-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240450103001027,24,45,10300,1027,NA,NA,NA,NA,list()
1004562,20858,Norris Farms Landfill,MD,101 Norris Lane,Baltimore,Baltimore,21222,39.288,-76.48,Private,"Republic Services, Inc.",1968,1986,Closed,"8,003,870",1986,Yes,0.589,0.589,201101-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240054524001002,24,5,452400,1002,NA,NA,NA,NA,list()
1011391,758,Northern SLF,MD,1400 Baltimore Boulevard,Westminster,Carroll,21157,39.554,-76.94,Public,"Carroll County, MD",1988,2043,Open,"528,676",2009,Yes,NA,NA,828-0,Future Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240135041003004,24,13,504100,3004,NA,NA,NA,NA,list()
1003469,759,Oaks SLF,MD,6001 Olney-Laytonsville Road,Laytonsville,Montgomery,20882,39.18948,-77.12058,Public,"Montgomery County, MD",1982,1994,Closed,"6,874,060",NA,Yes,1.31,NA,180398-0,Shutdown,Project #2,7/13/09,7/31/21,Electricity,Reciprocating Engine,NA,1.66,2.4,0.56,NA,NA,240317001032010,24,31,700103,2010,NA,NA,NA,NA,list()
1003469,759,Oaks SLF,MD,6001 Olney-Laytonsville Road,Laytonsville,Montgomery,20882,39.18948,-77.12058,Public,"Montgomery County, MD",1982,1994,Closed,"6,874,060",NA,Yes,1.31,NA,829-0,Shutdown,Project #1,1/1/00,1/1/02,Direct,Leachate Evaporation,NA,NA,NA,1.8,NA,NA,240317001032010,24,31,700103,2010,NA,NA,NA,NA,list()
NA,739,Old Beulah Municipal LF,MD,NA,Beulah,Dorchester,21643,38.67537,-75.89938,Public,"Dorchester County, MD",1973,1996,Closed,"1,050,000",1994,Unknown,NA,NA,809-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240199702002028,24,19,970200,2028,NA,NA,NA,NA,list()
NA,760,Pennington Avenue LF,MD,Pennington Avenue,Baltimore,Baltimore city,21226,39.218,-76.5915,Public,"City of Baltimore, MD",1973,1981,Closed,"2,000,000",NA,Yes,0.9,NA,830-0,Shutdown,Project #1,1/1/85,1/1/93,Direct,Direct Thermal,NA,NA,NA,0.9,NA,NA,245102505002010,24,510,250500,2010,NA,NA,NA,NA,list()
1006339,762,Pisgah SLF,MD,6645 Mason Springs Road,La Plata,Charles,20646,38.5357,-77.1491,Public,"Charles County, MD",1972,1994,Closed,"1,082,000",NA,Yes,0.278,0.278,832-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240178503002004,24,17,850300,2004,NA,NA,NA,NA,list()
1001568,763,Quarantine Road SLF,MD,6100 Quarantine Road,Curtis Bay,Baltimore city,21226,39.2085,-76.5549,Public,"City of Baltimore, MD",1985,2026,Open,"10,632,202",2009,Yes,0.451,NA,833-0,Operational,Project #1,4/22/09,NA,Electricity,Cogeneration,NA,1.5,4,0.864,0.0759,0.0073,245102505001019,24,510,250500,1019,NA,NA,NA,NA,list()
1005873,764,Reich's Ford Road SLF,MD,9031 Reichs Ford Road,Frederick,Frederick,21704,39.3754,-77.3528,Public,"Frederick County, MD",1969,2045,Open,"4,493,586",2018,Yes,0.595,0.595,834-0,Shutdown,Project #1,5/31/10,6/1/18,Electricity,Reciprocating Engine,NA,2.12,NA,1.23,NA,NA,240217519042017,24,21,751904,2017,NA,NA,NA,NA,list()
NA,765,Resh Road II SLF,MD,Resh Road,Hagerstown,Washington,21740,39.68,-77.802,Public,"Washington County, MD",1982,2000,Closed,"2,055,978",2000,Yes,0.89,NA,835-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240430117003004,24,43,11700,3004,NA,NA,NA,NA,list()
NA,766,Round Glade SLF,MD,NA,Oakland,Garrett,21550,39.470556,-79.393057,Public,NA,1974,1994,Closed,"800,000",NA,No,NA,NA,836-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240230006011000,24,23,601,1000,NA,NA,NA,NA,list()
NA,767,Saint Andrews SLF,MD,44825 St. Andrews Church Road,California,St. Mary's,20619,38.2909,-76.5233,Public,"St. Mary's County, MD",1971,2001,Closed,"842,556",2001,No,NA,NA,837-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240378760041005,24,37,876004,1005,NA,NA,NA,NA,list()
1007573,768,Sandy Hill SLF,MD,9500 Old Laurel Bowie Road,Bowie,Prince George's,20720,39.016,-76.791,Public,"Prince George's County, MD",1978,2000,Closed,"8,201,604",2000,Yes,2.201,NA,838-0,Shutdown,Project #1,1/15/03,12/31/10,Direct,Boiler,NA,NA,NA,2.13,0,0,240338004111008,24,33,800411,1008,NA,NA,NA,NA,list()
1007573,768,Sandy Hill SLF,MD,9500 Old Laurel Bowie Road,Bowie,Prince George's,20720,39.016,-76.791,Public,"Prince George's County, MD",1978,2000,Closed,"8,201,604",2000,Yes,2.201,NA,838-1,Operational,"Project #1, De-Expansion #1",1/1/11,NA,Direct,Boiler,NA,NA,NA,1.73,0.1696,0.015,240338004111008,24,33,800411,1008,NA,NA,NA,NA,list()
1004563,20860,Solley Road Landfill,MD,7890 Solley Road,Glen Burnie,Anne Arundel,21061,39.160313,-76.575042,Private,"Republic Services, Inc.",1963,1982,Closed,"1,237,712",1982,Yes,0.11,0.11,201098-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240037301023040,24,3,730102,3040,NA,NA,NA,NA,list()
NA,770,Sudley Road SLF,MD,5400 Nutwell Sudley Road,Deale,Anne Arundel,20751,38.8179,-76.5785,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1982,1993,Closed,"671,000",NA,No,NA,NA,840-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240037080044000,24,3,708004,4000,NA,NA,NA,NA,list()
NA,772,Westover/Ring SLF,MD,8716 James Ring Road,Westover,Somerset,21871,38.121044,-75.735464,Public,"Somerset County, MD",1975,1998,Closed,"447,610",NA,No,NA,NA,842-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240399308002029,24,39,930800,2029,NA,NA,NA,NA,list()
